Merchant,Vintage Index,FICO Bucket,New Accounts,growth_rate_applied
Merchant 3,20,Poor (300-579),3085.050421018157,0.047703985442679876
Merchant 3,21,Exceptional (800-850),5156.703102409584,0.047703985442679876
Merchant 3,21,Very Good (740-799),7814.185184401405,0.047703985442679876
Merchant 3,21,Good (670-739),9214.994763734243,0.047703985442679876
Merchant 3,21,Fair (580-669),7188.0218538257905,0.047703985442679876
Merchant 3,21,Poor (300-579),3232.2196213923407,0.047703985442679876
Merchant 4,14,Exceptional (800-850),5507.969689619754,0.045285431088616344
Merchant 4,14,Very Good (740-799),8525.801632726609,0.045285431088616344
Merchant 4,14,Good (670-739),11807.739094403012,0.045285431088616344
Merchant 4,14,Fair (580-669),9515.292856408416,0.045285431088616344
Merchant 4,14,Poor (300-579),3889.483522495399,0.045285431088616344
Merchant 4,15,Exceptional (800-850),5757.400471437218,0.045285431088616344
Merchant 4,15,Very Good (740-799),8911.896235040664,0.045285431088616344
Merchant 4,15,Good (670-739),12342.457649474962,0.045285431088616344
Merchant 4,15,Fair (580-669),9946.196995345303,0.045285431088616344
Merchant 4,15,Poor (300-579),4065.620460523673,0.045285431088616344
Merchant 4,16,Exceptional (800-850),6018.126833736055,0.045285431088616344
Merchant 4,16,Very Good (740-799),9315.475297861496,0.045285431088616344
Merchant 4,16,Good (670-739),12901.391164824427,0.045285431088616344
Merchant 4,16,Fair (580-669),10396.614813971815,0.045285431088616344
Merchant 4,16,Poor (300-579),4249.733835721187,0.045285431088616344
Merchant 4,17,Exceptional (800-850),6290.660301747762,0.045285431088616344
Merchant 4,17,Very Good (740-799),9737.33061252051,0.045285431088616344
Merchant 4,17,Good (670-739),13485.636225366366,0.045285431088616344
Merchant 4,17,Fair (580-669),10867.429997684823,0.045285431088616344
Merchant 4,17,Poor (300-579),4442.184864483699,0.045285431088616344
Merchant 4,18,Exceptional (800-850),6575.535565344456,0.045285431088616344
Merchant 4,18,Very Good (740-799),10178.289826960885,0.045285431088616344
Merchant 4,18,Good (670-739),14096.339075336346,0.045285431088616344
Merchant 4,18,Fair (580-669),11359.566249955344,0.045285431088616344
Merchant 4,18,Poor (300-579),4643.351121047172,0.045285431088616344
Merchant 4,19,Exceptional (800-850),6873.311528059608,0.045285431088616344
Merchant 4,19,Very Good (740-799),10639.218069519688,0.045285431088616344
Merchant 4,19,Good (670-739),14734.69786713426,0.045285431088616344
Merchant 4,19,Fair (580-669),11873.989104564269,0.045285431088616344
Merchant 4,19,Poor (300-579),4853.6272782596025,0.045285431088616344
Merchant 4,20,Exceptional (800-850),7184.572403614144,0.045285431088616344
Merchant 4,20,Very Good (740-799),11121.019646243682,0.045285431088616344
Merchant 4,20,Good (670-739),15401.96501200795,0.045285431088616344
Merchant 4,20,Fair (580-669),12411.707819905994,0.045285431088616344
Merchant 4,20,Poor (300-579),5073.425881899057,0.045285431088616344
Merchant 4,21,Exceptional (800-850),7509.928862099186,0.045285431088616344
Merchant 4,21,Very Good (740-799),11624.639815068798,0.045285431088616344
Merchant 4,21,Good (670-739),16099.449637188514,0.045285431088616344
Merchant 4,21,Fair (580-669),12973.777359076388,0.045285431088616344
Merchant 4,21,Poor (300-579),5303.178160056998,0.045285431088616344
